RoomID,Capacity,WheelchairAccess,Projector,Computer,FloorLevel
R0047,35,TRUE,TRUE,TRUE,3
R0048,48,FALSE,FALSE,FALSE,7
R0049,30,TRUE,FALSE,FALSE,1
R0050,27,FALSE,FALSE,TRUE,1
R0051,50,TRUE,FALSE,TRUE,9
R0052,32,FALSE,TRUE,FALSE,1
R0053,45,TRUE,TRUE,FALSE,4
R0054,34,FALSE,TRUE,TRUE,10
R0055,44,FALSE,FALSE,TRUE,10
R0056,15,TRUE,TRUE,TRUE,9
R0057,29,FALSE,FALSE,TRUE,4
R0058,39,TRUE,FALSE,FALSE,3
R0059,7,FALSE,TRUE,FALSE,8
R0060,37,TRUE,FALSE,TRUE,8
R0061,26,TRUE,FALSE,TRUE,4
R0062,23,FALSE,FALSE,TRUE,2
R0063,15,TRUE,TRUE,TRUE,10
R0064,34,FALSE,TRUE,TRUE,7
R0065,31,TRUE,FALSE,FALSE,5
R0066,23,FALSE,FALSE,TRUE,5
R0067,6,TRUE,FALSE,TRUE,2
R0068,37,TRUE,FALSE,TRUE,3
R0069,19,FALSE,TRUE,FALSE,7
R0070,9,TRUE,TRUE,TRUE,9
R0071,49,TRUE,TRUE,TRUE,3
R0072,13,TRUE,TRUE,FALSE,9
R0073,37,FALSE,TRUE,FALSE,6
R0074,43,FALSE,FALSE,TRUE,1
R0075,36,FALSE,TRUE,TRUE,4
R0076,9,FALSE,TRUE,FALSE,10
R0077,19,FALSE,FALSE,FALSE,3
R0078,5,TRUE,FALSE,FALSE,3
R0079,13,FALSE,FALSE,TRUE,7
R0080,13,TRUE,FALSE,FALSE,10
R0081,33,FALSE,TRUE,FALSE,2
R0082,30,FALSE,TRUE,TRUE,7
R0083,5,FALSE,FALSE,FALSE,8
R0084,39,TRUE,FALSE,FALSE,7
R0085,8,TRUE,TRUE,TRUE,4
R0086,40,TRUE,FALSE,FALSE,6
R0087,11,TRUE,TRUE,FALSE,2
R0088,22,FALSE,FALSE,FALSE,7
R0089,21,FALSE,TRUE,TRUE,5
R0090,13,TRUE,TRUE,TRUE,8
R0091,19,TRUE,FALSE,TRUE,10
R0092,40,TRUE,TRUE,FALSE,10
R0093,26,TRUE,TRUE,TRUE,10
R0094,32,FALSE,FALSE,FALSE,5
R0095,23,FALSE,FALSE,FALSE,10
R0096,40,TRUE,TRUE,TRUE,6
R0097,26,TRUE,TRUE,FALSE,1
R0098,19,TRUE,FALSE,TRUE,3
R0099,8,TRUE,TRUE,FALSE,6
R0100,43,FALSE,TRUE,FALSE,10
R0101,29,FALSE,TRUE,FALSE,8
R0102,43,FALSE,TRUE,TRUE,2
R0103,24,TRUE,FALSE,FALSE,2
R0104,12,FALSE,FALSE,TRUE,10
R0105,20,FALSE,FALSE,FALSE,3
R0106,38,TRUE,FALSE,FALSE,3
R0107,50,TRUE,TRUE,TRUE,8
R0108,36,TRUE,FALSE,TRUE,10
R0109,37,TRUE,FALSE,TRUE,10
R0110,40,TRUE,FALSE,TRUE,4
R0111,33,TRUE,FALSE,FALSE,3
R0112,13,TRUE,FALSE,FALSE,7
R0113,34,TRUE,FALSE,TRUE,5
R0114,38,TRUE,TRUE,FALSE,5
R0115,45,FALSE,TRUE,FALSE,7
R0116,37,TRUE,TRUE,FALSE,2
R0117,5,FALSE,TRUE,FALSE,2
R0118,20,FALSE,TRUE,FALSE,4
R0119,22,TRUE,TRUE,FALSE,3
R0120,42,FALSE,FALSE,FALSE,9
R0121,11,TRUE,FALSE,TRUE,7
R0122,14,FALSE,TRUE,TRUE,4
R0123,10,FALSE,FALSE,FALSE,3
R0124,9,TRUE,FALSE,FALSE,1
R0125,14,TRUE,TRUE,TRUE,1
R0126,21,FALSE,TRUE,FALSE,6
R0127,47,TRUE,TRUE,TRUE,6
R0128,45,TRUE,TRUE,FALSE,4
R0129,17,FALSE,FALSE,TRUE,6
R0130,18,FALSE,FALSE,TRUE,1
R0131,24,TRUE,FALSE,FALSE,7
R0132,27,FALSE,FALSE,FALSE,7
R0133,41,FALSE,FALSE,TRUE,3
R0134,10,TRUE,FALSE,FALSE,6
R0135,21,TRUE,TRUE,TRUE,4
R0136,40,TRUE,TRUE,FALSE,7
R0137,34,TRUE,TRUE,FALSE,4
R0138,27,TRUE,FALSE,TRUE,2
R0139,20,TRUE,TRUE,FALSE,5
R0140,18,TRUE,TRUE,FALSE,9
R0141,27,FALSE,TRUE,TRUE,4
R0142,35,FALSE,FALSE,FALSE,2
R0143,39,FALSE,FALSE,FALSE,5
R0144,8,TRUE,TRUE,FALSE,10
R0145,49,FALSE,FALSE,TRUE,9
R0146,38,FALSE,TRUE,FALSE,4
R0147,7,TRUE,TRUE,FALSE,7
R0148,30,FALSE,FALSE,FALSE,5
R0149,10,TRUE,TRUE,TRUE,10
R0150,46,FALSE,FALSE,TRUE,4
R0151,43,FALSE,TRUE,TRUE,8
R0152,18,FALSE,TRUE,TRUE,2
R0153,27,FALSE,TRUE,FALSE,1
R0154,11,FALSE,FALSE,TRUE,6
R0155,35,FALSE,FALSE,FALSE,3
R0156,37,FALSE,FALSE,FALSE,1
R0157,22,FALSE,TRUE,FALSE,5
R0158,18,TRUE,FALSE,TRUE,3
R0159,21,TRUE,TRUE,TRUE,9
R0160,10,FALSE,FALSE,FALSE,2
R0161,23,TRUE,FALSE,FALSE,9
R0162,25,FALSE,FALSE,FALSE,10
R0163,49,TRUE,TRUE,TRUE,3
R0164,18,FALSE,TRUE,FALSE,1
R0165,17,FALSE,FALSE,FALSE,9
R0166,44,TRUE,TRUE,FALSE,8
R0167,28,TRUE,FALSE,FALSE,4
R0168,46,TRUE,FALSE,TRUE,8
R0169,22,FALSE,FALSE,FALSE,3
R0170,41,TRUE,TRUE,FALSE,7
R0171,10,FALSE,FALSE,FALSE,2
R0172,29,TRUE,FALSE,FALSE,1
R0173,24,FALSE,FALSE,TRUE,6
R0174,8,TRUE,FALSE,FALSE,4
R0175,42,TRUE,FALSE,TRUE,4
R0176,47,TRUE,FALSE,FALSE,8
R0177,39,FALSE,FALSE,TRUE,5
R0178,40,FALSE,FALSE,FALSE,6
R0179,47,TRUE,TRUE,FALSE,3
R0180,18,FALSE,FALSE,TRUE,2
R0181,6,TRUE,FALSE,TRUE,2
R0182,43,TRUE,FALSE,FALSE,9
R0183,5,FALSE,FALSE,FALSE,4
R0184,44,FALSE,TRUE,TRUE,3
R0185,40,FALSE,TRUE,TRUE,10
R0186,48,TRUE,TRUE,TRUE,1
R0187,49,TRUE,TRUE,TRUE,9
R0188,44,FALSE,TRUE,TRUE,10
R0189,39,TRUE,FALSE,FALSE,5
R0190,33,TRUE,FALSE,TRUE,3
R0191,16,FALSE,TRUE,FALSE,9
R0192,31,TRUE,FALSE,FALSE,3
R0193,13,FALSE,FALSE,FALSE,7
R0194,49,TRUE,FALSE,TRUE,5
R0195,45,TRUE,FALSE,FALSE,4
R0196,49,FALSE,TRUE,TRUE,2
R0197,37,FALSE,TRUE,TRUE,9
R0198,13,FALSE,TRUE,TRUE,2
R0199,18,TRUE,FALSE,TRUE,3
R0200,41,TRUE,TRUE,TRUE,2
R0201,22,TRUE,FALSE,FALSE,1
R0202,41,TRUE,FALSE,FALSE,7
R0203,14,FALSE,TRUE,FALSE,8
R0204,25,TRUE,FALSE,FALSE,6
R0205,20,TRUE,FALSE,FALSE,7
R0206,38,TRUE,TRUE,TRUE,3
R0207,19,FALSE,TRUE,TRUE,10
R0208,10,FALSE,TRUE,FALSE,10
R0209,22,TRUE,FALSE,TRUE,8
R0210,21,FALSE,FALSE,TRUE,6
R0211,48,TRUE,TRUE,TRUE,2
R0212,26,FALSE,FALSE,FALSE,8
R0213,26,TRUE,TRUE,FALSE,9
R0214,44,FALSE,TRUE,FALSE,4
R0215,32,FALSE,FALSE,TRUE,6
R0216,5,TRUE,FALSE,TRUE,1
R0217,10,TRUE,FALSE,TRUE,3
R0218,50,FALSE,TRUE,TRUE,8
R0219,44,TRUE,TRUE,FALSE,8
R0220,29,TRUE,TRUE,FALSE,5
R0221,49,TRUE,FALSE,TRUE,6
R0222,23,FALSE,FALSE,FALSE,5
R0223,44,TRUE,TRUE,FALSE,5
R0224,38,FALSE,TRUE,FALSE,3
R0225,32,TRUE,TRUE,FALSE,6
R0226,49,TRUE,TRUE,TRUE,10
R0227,48,FALSE,TRUE,TRUE,6
R0228,11,TRUE,TRUE,TRUE,2
R0229,23,FALSE,TRUE,FALSE,3
R0230,47,TRUE,TRUE,TRUE,6
R0231,50,TRUE,TRUE,FALSE,4
R0232,10,FALSE,FALSE,FALSE,8
R0233,49,TRUE,FALSE,TRUE,1
R0234,17,TRUE,FALSE,FALSE,1
R0235,38,TRUE,TRUE,FALSE,9
R0236,9,FALSE,TRUE,TRUE,1
R0237,49,FALSE,TRUE,FALSE,9
R0238,49,TRUE,TRUE,FALSE,1
R0239,46,TRUE,TRUE,FALSE,3
R0240,34,TRUE,FALSE,TRUE,1
R0241,33,FALSE,FALSE,TRUE,7
R0242,22,FALSE,FALSE,TRUE,10
R0243,20,TRUE,TRUE,TRUE,2
R0244,12,TRUE,TRUE,FALSE,4
R0245,7,FALSE,TRUE,TRUE,10
R0246,45,FALSE,FALSE,TRUE,4
R0247,23,FALSE,FALSE,FALSE,4
R0248,18,FALSE,FALSE,FALSE,7
R0249,48,FALSE,FALSE,FALSE,6
R0250,40,TRUE,TRUE,FALSE,10
R0251,14,TRUE,TRUE,FALSE,10
R0252,13,FALSE,TRUE,FALSE,5
R0253,8,FALSE,TRUE,FALSE,1
R0254,7,FALSE,TRUE,TRUE,9
R0255,21,FALSE,FALSE,TRUE,3
R0256,45,FALSE,TRUE,FALSE,1
R0257,25,TRUE,FALSE,FALSE,2
R0258,34,FALSE,TRUE,TRUE,8
R0259,14,TRUE,TRUE,TRUE,10
R0260,22,FALSE,FALSE,TRUE,10
R0261,5,TRUE,FALSE,FALSE,3
R0262,22,TRUE,TRUE,FALSE,5
R0263,35,FALSE,TRUE,TRUE,10
R0264,40,FALSE,FALSE,TRUE,6
R0265,24,FALSE,TRUE,TRUE,1
R0266,24,FALSE,TRUE,FALSE,9
R0267,22,TRUE,FALSE,TRUE,10
R0268,21,TRUE,TRUE,TRUE,7
R0269,41,FALSE,FALSE,FALSE,9
R0270,44,FALSE,TRUE,FALSE,2
R0271,14,FALSE,FALSE,FALSE,1
R0272,17,TRUE,TRUE,FALSE,1
R0273,11,TRUE,FALSE,FALSE,8
R0274,16,FALSE,FALSE,FALSE,4
R0275,47,TRUE,TRUE,FALSE,3
R0276,43,FALSE,TRUE,FALSE,7
R0277,37,FALSE,TRUE,TRUE,6
R0278,47,TRUE,TRUE,TRUE,2
R0279,44,FALSE,FALSE,TRUE,9
R0280,47,FALSE,FALSE,FALSE,4
R0281,25,TRUE,TRUE,FALSE,8
R0282,46,TRUE,TRUE,FALSE,10
R0283,31,FALSE,TRUE,TRUE,2
R0284,50,FALSE,FALSE,TRUE,1
R0285,46,TRUE,TRUE,TRUE,6
R0286,26,TRUE,FALSE,FALSE,3
R0287,40,TRUE,TRUE,FALSE,9
R0288,37,FALSE,TRUE,FALSE,10
R0289,21,TRUE,FALSE,TRUE,7
R0290,27,TRUE,FALSE,FALSE,9
R0291,5,FALSE,TRUE,FALSE,7
R0292,11,FALSE,FALSE,TRUE,8
R0293,10,FALSE,TRUE,FALSE,10
R0294,42,FALSE,FALSE,TRUE,5
R0295,6,TRUE,FALSE,FALSE,4
R0296,8,TRUE,FALSE,FALSE,1
R0297,29,TRUE,TRUE,TRUE,1
R0298,13,TRUE,FALSE,TRUE,5
R0299,12,FALSE,FALSE,TRUE,7
R0300,33,TRUE,TRUE,FALSE,9
R0301,30,TRUE,TRUE,TRUE,5
R0302,24,FALSE,TRUE,TRUE,6
R0303,32,TRUE,TRUE,TRUE,9
R0304,21,FALSE,FALSE,FALSE,8
R0305,19,TRUE,TRUE,TRUE,6
R0306,8,FALSE,FALSE,TRUE,3
R0307,26,FALSE,FALSE,TRUE,9
R0308,33,FALSE,TRUE,TRUE,8
R0309,6,TRUE,TRUE,FALSE,5
R0310,38,FALSE,FALSE,FALSE,2
R0311,11,TRUE,FALSE,TRUE,2
R0312,34,TRUE,TRUE,TRUE,6
R0313,39,FALSE,TRUE,TRUE,3
R0314,19,TRUE,FALSE,FALSE,8
R0315,14,TRUE,TRUE,FALSE,1
R0316,31,FALSE,FALSE,FALSE,10
R0317,29,TRUE,FALSE,FALSE,2
R0318,39,FALSE,FALSE,TRUE,4
R0319,47,FALSE,TRUE,TRUE,9
R0320,19,TRUE,TRUE,FALSE,1
R0321,45,TRUE,TRUE,FALSE,1
R0322,7,TRUE,TRUE,TRUE,8
R0323,33,TRUE,FALSE,FALSE,3
R0324,24,TRUE,TRUE,FALSE,9
R0325,10,TRUE,TRUE,TRUE,6
R0326,30,FALSE,FALSE,TRUE,10
R0327,9,TRUE,TRUE,TRUE,6
R0328,38,FALSE,TRUE,TRUE,3
R0329,42,TRUE,FALSE,TRUE,9
R0330,13,FALSE,TRUE,FALSE,4
R0331,46,FALSE,TRUE,TRUE,1
R0332,37,TRUE,FALSE,TRUE,9
R0333,29,FALSE,FALSE,FALSE,10
R0334,27,TRUE,TRUE,TRUE,9
R0335,13,FALSE,FALSE,TRUE,2
R0336,50,FALSE,FALSE,TRUE,10
R0337,14,TRUE,TRUE,TRUE,7
R0338,38,FALSE,TRUE,FALSE,2
R0339,39,FALSE,TRUE,FALSE,5
R0340,13,FALSE,FALSE,FALSE,1
R0341,22,FALSE,TRUE,FALSE,7
R0342,29,FALSE,TRUE,TRUE,6
R0343,18,TRUE,FALSE,TRUE,1
R0344,48,TRUE,FALSE,FALSE,1
R0345,31,TRUE,FALSE,FALSE,9
R0346,18,FALSE,FALSE,TRUE,10
R0347,10,TRUE,FALSE,TRUE,5
R0348,14,FALSE,FALSE,FALSE,1
R0349,28,FALSE,TRUE,TRUE,1
R0350,43,FALSE,TRUE,FALSE,8
R0351,30,TRUE,TRUE,TRUE,9
R0352,29,FALSE,TRUE,FALSE,5
R0353,8,TRUE,TRUE,FALSE,8
R0354,46,TRUE,TRUE,TRUE,6
R0355,20,TRUE,TRUE,TRUE,5
R0356,37,TRUE,FALSE,FALSE,9
R0357,19,FALSE,FALSE,FALSE,2
R0358,50,FALSE,FALSE,TRUE,10
R0359,44,FALSE,TRUE,FALSE,2
R0360,49,TRUE,TRUE,FALSE,8
R0361,16,FALSE,TRUE,FALSE,4
R0362,32,FALSE,FALSE,TRUE,5
R0363,41,FALSE,FALSE,FALSE,9
R0364,33,TRUE,TRUE,TRUE,8
R0365,5,FALSE,FALSE,FALSE,6
R0366,49,TRUE,FALSE,TRUE,2
R0367,33,FALSE,FALSE,TRUE,8
R0368,24,FALSE,FALSE,TRUE,10
R0369,24,FALSE,TRUE,FALSE,4
R0370,23,TRUE,FALSE,FALSE,1
R0371,31,FALSE,TRUE,FALSE,4
R0372,7,TRUE,TRUE,TRUE,5
R0373,43,FALSE,TRUE,TRUE,3
R0374,12,TRUE,FALSE,TRUE,10
R0375,22,TRUE,TRUE,TRUE,10
R0376,35,FALSE,TRUE,TRUE,8
R0377,18,TRUE,TRUE,TRUE,7
R0378,39,TRUE,FALSE,TRUE,5
R0379,34,FALSE,TRUE,TRUE,7
R0380,14,TRUE,FALSE,TRUE,2
R0381,48,FALSE,TRUE,TRUE,5
R0382,30,FALSE,FALSE,TRUE,4
R0383,29,TRUE,TRUE,FALSE,9
R0384,17,FALSE,FALSE,FALSE,6
R0385,7,TRUE,FALSE,FALSE,4
R0386,7,FALSE,TRUE,FALSE,2
R0387,38,FALSE,FALSE,FALSE,10
R0388,43,FALSE,FALSE,FALSE,4
R0389,41,TRUE,FALSE,TRUE,6
R0390,20,FALSE,FALSE,FALSE,3
R0391,28,FALSE,TRUE,TRUE,7
R0392,42,TRUE,TRUE,FALSE,10
R0393,33,TRUE,TRUE,FALSE,1
R0394,48,TRUE,FALSE,FALSE,4
R0395,39,FALSE,FALSE,TRUE,7
R0396,38,FALSE,TRUE,TRUE,1
R0397,17,TRUE,TRUE,TRUE,2
R0398,14,FALSE,FALSE,FALSE,2
R0399,34,TRUE,TRUE,FALSE,6
R0400,35,FALSE,TRUE,TRUE,1
R0401,16,FALSE,TRUE,TRUE,6
R0402,27,FALSE,TRUE,FALSE,9
R0403,32,TRUE,TRUE,FALSE,7
R0404,36,TRUE,FALSE,TRUE,5
R0405,40,FALSE,TRUE,FALSE,6
R0406,6,TRUE,TRUE,TRUE,2
R0407,42,TRUE,TRUE,TRUE,2
R0408,14,FALSE,FALSE,FALSE,3
R0409,22,FALSE,FALSE,TRUE,9
R0410,50,FALSE,TRUE,TRUE,1
R0411,24,TRUE,TRUE,FALSE,6
R0412,42,FALSE,TRUE,TRUE,9
R0413,38,FALSE,TRUE,TRUE,2
R0414,14,TRUE,TRUE,FALSE,1
R0415,11,FALSE,FALSE,FALSE,7
R0416,41,TRUE,TRUE,TRUE,7
R0417,18,TRUE,FALSE,TRUE,3
R0418,16,TRUE,FALSE,TRUE,8
R0419,15,FALSE,TRUE,FALSE,2
R0420,49,FALSE,FALSE,TRUE,7
R0421,22,FALSE,TRUE,FALSE,9
R0422,37,TRUE,TRUE,FALSE,8
R0423,11,FALSE,TRUE,TRUE,1
R0424,48,FALSE,FALSE,TRUE,9
R0425,6,FALSE,FALSE,FALSE,2
R0426,46,FALSE,TRUE,TRUE,1
R0427,21,FALSE,FALSE,FALSE,3
R0428,21,TRUE,FALSE,FALSE,3
R0429,43,TRUE,FALSE,FALSE,3
R0430,50,FALSE,TRUE,FALSE,7
R0431,29,FALSE,FALSE,TRUE,5
R0432,6,TRUE,FALSE,FALSE,10
R0433,46,FALSE,TRUE,FALSE,2
R0434,48,FALSE,FALSE,TRUE,6
R0435,16,FALSE,FALSE,FALSE,9
R0436,8,FALSE,FALSE,TRUE,8
R0437,45,TRUE,FALSE,TRUE,6
R0438,31,FALSE,FALSE,TRUE,2
R0439,32,FALSE,TRUE,TRUE,2
R0440,22,TRUE,TRUE,FALSE,7
R0441,21,FALSE,FALSE,TRUE,6
R0442,9,TRUE,TRUE,TRUE,9
R0443,38,TRUE,TRUE,FALSE,6
R0444,12,TRUE,TRUE,TRUE,1
R0445,34,FALSE,TRUE,FALSE,6
R0446,45,FALSE,TRUE,FALSE,1
R0447,36,TRUE,TRUE,TRUE,5
R0448,24,TRUE,TRUE,FALSE,8
R0449,43,TRUE,TRUE,FALSE,10
R0450,41,FALSE,FALSE,TRUE,1
R0451,36,FALSE,FALSE,TRUE,9
R0452,48,TRUE,FALSE,TRUE,5
R0453,12,FALSE,TRUE,FALSE,2
R0454,28,FALSE,FALSE,TRUE,3
R0455,48,FALSE,FALSE,TRUE,9
R0456,30,FALSE,TRUE,FALSE,4
R0457,15,TRUE,TRUE,FALSE,1
R0458,50,FALSE,TRUE,TRUE,6
R0459,11,FALSE,TRUE,TRUE,7
R0460,33,FALSE,FALSE,TRUE,1
R0461,14,TRUE,TRUE,TRUE,1
R0462,9,TRUE,TRUE,FALSE,2
R0463,41,FALSE,FALSE,TRUE,8
R0464,23,FALSE,FALSE,TRUE,2
R0465,28,TRUE,TRUE,TRUE,2
R0466,24,FALSE,TRUE,FALSE,8
R0467,48,TRUE,FALSE,TRUE,8
R0468,38,FALSE,TRUE,TRUE,9
R0469,37,TRUE,FALSE,TRUE,4
R0470,12,FALSE,TRUE,TRUE,7
R0471,28,FALSE,TRUE,TRUE,10
R0472,6,TRUE,FALSE,TRUE,10
R0473,33,TRUE,TRUE,FALSE,10
R0474,47,TRUE,FALSE,FALSE,1
R0475,50,TRUE,TRUE,FALSE,2
R0476,11,TRUE,FALSE,TRUE,9
R0477,22,FALSE,TRUE,TRUE,9
R0478,32,FALSE,TRUE,TRUE,5
R0479,39,TRUE,FALSE,TRUE,1
R0480,45,FALSE,TRUE,TRUE,4
R0481,21,TRUE,FALSE,FALSE,4
R0482,41,TRUE,TRUE,FALSE,6
R0483,41,TRUE,TRUE,FALSE,5
R0484,38,FALSE,FALSE,TRUE,6
R0485,16,FALSE,FALSE,TRUE,3
R0486,19,TRUE,TRUE,TRUE,4
R0487,48,FALSE,TRUE,TRUE,4
R0488,19,FALSE,FALSE,TRUE,9
R0489,44,FALSE,FALSE,TRUE,6
R0490,21,TRUE,FALSE,FALSE,1
R0491,43,TRUE,TRUE,TRUE,9
R0492,26,TRUE,TRUE,FALSE,2
R0493,14,TRUE,TRUE,FALSE,1
R0494,27,TRUE,TRUE,TRUE,9
R0495,13,TRUE,FALSE,TRUE,2
R0496,23,TRUE,FALSE,TRUE,9
R0497,10,TRUE,TRUE,TRUE,5
R0498,17,FALSE,FALSE,FALSE,6
R0499,37,FALSE,FALSE,TRUE,7
R0500,5,TRUE,FALSE,TRUE,3
R0501,32,FALSE,FALSE,TRUE,7
R0502,39,FALSE,TRUE,FALSE,7
R0503,44,FALSE,FALSE,TRUE,5
R0504,16,TRUE,FALSE,FALSE,1
R0505,44,TRUE,TRUE,FALSE,3
R0506,47,TRUE,TRUE,FALSE,9
R0507,13,FALSE,FALSE,TRUE,1
R0508,10,FALSE,TRUE,TRUE,2
R0509,15,TRUE,TRUE,TRUE,8
R0510,13,TRUE,TRUE,TRUE,9
R0511,5,TRUE,TRUE,FALSE,1
R0512,34,FALSE,FALSE,TRUE,9
R0513,26,TRUE,TRUE,TRUE,8
R0514,26,TRUE,TRUE,TRUE,6
R0515,25,FALSE,FALSE,FALSE,8
R0516,38,FALSE,FALSE,FALSE,3
R0517,17,FALSE,TRUE,FALSE,3
R0518,11,FALSE,TRUE,TRUE,4
R0519,17,TRUE,TRUE,FALSE,6
R0520,27,TRUE,TRUE,FALSE,6
R0521,37,TRUE,TRUE,FALSE,3
R0522,22,FALSE,TRUE,FALSE,4
R0523,20,FALSE,FALSE,TRUE,3
R0524,33,TRUE,TRUE,FALSE,5
R0525,31,TRUE,TRUE,FALSE,8
R0526,40,TRUE,TRUE,TRUE,8
R0527,10,TRUE,FALSE,FALSE,7
R0528,21,FALSE,FALSE,TRUE,1
R0529,41,FALSE,FALSE,FALSE,6
R0530,17,TRUE,FALSE,TRUE,9
R0531,45,TRUE,TRUE,FALSE,7
R0532,49,FALSE,TRUE,TRUE,5
R0533,39,FALSE,TRUE,FALSE,5
R0534,15,FALSE,TRUE,TRUE,9
R0535,44,FALSE,FALSE,FALSE,8
R0536,45,FALSE,FALSE,FALSE,9
R0537,29,FALSE,TRUE,FALSE,4
R0538,50,FALSE,FALSE,FALSE,3
R0539,7,TRUE,FALSE,FALSE,5
R0540,34,FALSE,TRUE,FALSE,4
R0541,25,FALSE,FALSE,FALSE,2
R0542,33,FALSE,TRUE,TRUE,4
R0543,36,TRUE,TRUE,TRUE,4
R0544,20,FALSE,FALSE,TRUE,7
R0545,34,TRUE,FALSE,FALSE,4
R0546,37,TRUE,TRUE,FALSE,4
R0547,14,FALSE,FALSE,FALSE,5
R0548,37,TRUE,FALSE,FALSE,9
R0549,14,FALSE,TRUE,FALSE,9
R0550,34,TRUE,TRUE,FALSE,3
R0551,21,FALSE,FALSE,TRUE,8
R0552,28,TRUE,TRUE,TRUE,4
R0553,20,TRUE,TRUE,FALSE,4
R0554,26,FALSE,TRUE,FALSE,7
R0555,31,TRUE,TRUE,TRUE,9
R0556,17,FALSE,TRUE,TRUE,5
R0557,34,TRUE,FALSE,TRUE,4
R0558,42,FALSE,TRUE,TRUE,7
R0559,37,TRUE,TRUE,TRUE,7
R0560,9,TRUE,FALSE,FALSE,10
R0561,24,TRUE,FALSE,FALSE,5
R0562,38,FALSE,FALSE,FALSE,1
R0563,34,TRUE,FALSE,FALSE,9
R0564,38,TRUE,TRUE,TRUE,10
R0565,39,TRUE,FALSE,FALSE,9
R0566,9,FALSE,FALSE,TRUE,10
R0567,6,TRUE,TRUE,FALSE,10
R0568,46,TRUE,FALSE,TRUE,3
R0569,28,FALSE,TRUE,TRUE,2
R0570,17,TRUE,TRUE,FALSE,6
R0571,9,FALSE,TRUE,FALSE,9
R0572,19,TRUE,TRUE,TRUE,5
R0573,10,FALSE,TRUE,FALSE,3
R0574,38,TRUE,FALSE,TRUE,5
R0575,9,FALSE,FALSE,TRUE,8
R0576,22,TRUE,FALSE,FALSE,9
R0577,35,FALSE,FALSE,TRUE,2
R0578,29,TRUE,TRUE,TRUE,6
R0579,33,FALSE,TRUE,FALSE,6
R0580,46,TRUE,TRUE,TRUE,1
R0581,42,TRUE,TRUE,FALSE,10
R0582,32,TRUE,FALSE,FALSE,1
R0583,13,TRUE,TRUE,TRUE,4
R0584,33,FALSE,TRUE,FALSE,5
R0585,20,FALSE,TRUE,TRUE,5
R0586,5,FALSE,TRUE,FALSE,2
R0587,44,FALSE,FALSE,TRUE,9
R0588,22,FALSE,FALSE,FALSE,9
R0589,14,TRUE,FALSE,FALSE,8
R0590,34,TRUE,TRUE,FALSE,8
R0591,41,TRUE,FALSE,FALSE,3
R0592,17,FALSE,TRUE,FALSE,5
R0593,48,FALSE,TRUE,TRUE,7
R0594,7,FALSE,TRUE,FALSE,4
R0595,28,TRUE,FALSE,FALSE,4
R0596,13,FALSE,TRUE,FALSE,9
R0597,17,TRUE,FALSE,FALSE,1
R0598,32,FALSE,TRUE,FALSE,9
R0599,5,FALSE,FALSE,FALSE,8
R0600,11,FALSE,TRUE,TRUE,1
R0601,41,TRUE,FALSE,TRUE,2
R0602,5,TRUE,TRUE,TRUE,7
R0603,9,FALSE,TRUE,TRUE,2
R0604,28,TRUE,TRUE,FALSE,4
R0605,8,TRUE,FALSE,FALSE,6
